Lake,dist.date,recov.date,Year,peak.z,peak.date,Pigment,dist_length,log_peakz,log_length,Trophic_Status
Onondaga,145,163,2012,2.995274032,149,Chlorophyll-a,18,0.476436561,1.255272505,Eutrophic
Onondaga,238,258,2013,5.395955606,244,Chlorophyll-a,20,0.732068368,1.301029996,Eutrophic
Onondaga,111,134,2002,5.326788877,112,Chlorophyll-a,23,0.726465484,1.361727836,Eutrophic
Onondaga,117,142,2003,13.91287944,126,Chlorophyll-a,25,1.143417022,1.397940009,Eutrophic
Onondaga,196,221,2013,6.776859028,201,Chlorophyll-a,25,0.831028452,1.397940009,Eutrophic
Onondaga,113,139,2001,20.33432383,122,Chlorophyll-a,26,1.308229736,1.414973348,Eutrophic
Onondaga,201,229,2006,4.136078347,205,Chlorophyll-a,28,0.616588757,1.447158031,Eutrophic
Onondaga,132,161,2013,3.775298368,137,Chlorophyll-a,29,0.57695128,1.462397998,Eutrophic
Onondaga,143,173,2000,5.146199991,153,Chlorophyll-a,30,0.71148666,1.477121255,Eutrophic
Onondaga,205,236,2002,16.05802908,215,Chlorophyll-a,31,1.20569224,1.491361694,Eutrophic
Onondaga,235,271,2004,4.765799271,254,Chlorophyll-a,36,0.678135746,1.556302501,Eutrophic
Onondaga,274,313,2000,7.109980351,296,Chlorophyll-a,39,0.851868401,1.591064607,Eutrophic
Onondaga,180,219,2003,18.82922422,203,Chlorophyll-a,39,1.274832427,1.591064607,Eutrophic
Onondaga,190,229,2005,14.25484776,198,Chlorophyll-a,39,1.153962583,1.591064607,Eutrophic
Onondaga,121,171,2006,6.348897214,129,Chlorophyll-a,50,0.802698296,1.698970004,Eutrophic
Onondaga,206,262,2000,14.34596632,216,Chlorophyll-a,56,1.156729807,1.748188027,Eutrophic
Onondaga,126,190,2004,13.69118463,135,Chlorophyll-a,64,1.136441027,1.806179974,Eutrophic
Ontario (Oswego Buoy),113,287,2017,28.00035802,188,Chlorophyll-a,174,1.447163584,2.240549248,Mesotrophic
Prairie Lake,151,160,2023,3.03910554,153,Chlorophyll-a,9,0.482745782,0.954242509,Eutrophic
Prairie Lake,153,186,2019,32.89816395,171,Chlorophyll-a,33,1.517171661,1.51851394,Eutrophic
Prairie Pothole,185,195,2019,5.235598248,191,Chlorophyll-a,10,0.718966314,1,Eutrophic
Prairie Pothole,148,158,2023,3.252912156,153,Chlorophyll-a,10,0.512272335,1,Eutrophic
Prairie Pothole,166,177,2022,6.360403041,170,Chlorophyll-a,11,0.803484637,1.041392685,Eutrophic
Prairie Pothole,245,261,2021,11.05660701,254,Chlorophyll-a,16,1.043621873,1.204119983,Eutrophic
Prairie Pothole,278,303,2022,2.579590887,280,Chlorophyll-a,25,0.411550834,1.397940009,Eutrophic
Prairie Pothole,214,245,2020,6.13008919,242,Chlorophyll-a,31,0.787466793,1.491361694,Eutrophic
Prairie Pothole,197,234,2021,14.87005672,218,Chlorophyll-a,37,1.172312625,1.568201724,Eutrophic
Prairie Pothole,133,180,2021,36.30777903,144,Chlorophyll-a,47,1.559999684,1.672097858,Eutrophic
Sammamish,201,207,2015,2.555564531,202,Chlorophyll-a,6,0.407486852,0.77815125,Mesotrophic
Sammamish,334,342,2020,2.874751212,338,Phycocyanin,8,0.458600266,0.903089987,Mesotrophic
Sammamish,319,328,2000,3.465722985,323,Chlorophyll-a,9,0.539793847,0.954242509,Mesotrophic
Sammamish,309,318,2014,3.978394154,312,Chlorophyll-a,9,0.599707808,0.954242509,Mesotrophic
Sammamish,249,258,2015,4.730839884,253,Chlorophyll-a,9,0.67493825,0.954242509,Mesotrophic
Sammamish,173,183,2012,4.249092811,176,Chlorophyll-a,10,0.628296217,1,Mesotrophic
Sammamish,107,117,2024,3.875314279,112,Chlorophyll-a,10,0.588306929,1,Mesotrophic
