Lake,Year,Manual_Chl,DOYtrunc
R,2018,2.570637848,228
R,2018,1.735230772,229
R,2018,2.073709645,230
R,2018,2.20500549,231
R,2015,2.279210064,145
R,2015,1.874000047,146
R,2015,2.623054387,147
R,2015,1.7566793,148
R,2015,1.811106329,149
R,2015,1.984866185,150
R,2015,1.629057299,151
R,2015,1.438640896,152
R,2015,1.262456847,153
R,2015,2.205509141,154
R,2015,2.652264342,155
R,2015,3.246634093,156
R,2015,3.697139754,157
R,2015,4.140278217,158
R,2015,5.381081552,159
R,2015,4.031901176,160
R,2015,4.99395601,161
R,2015,5.214516074,162
R,2015,3.746941268,163
R,2015,5.401709865,164
R,2015,6.474602686,165
R,2015,6.912570581,166
R,2015,6.468605547,167
R,2015,9.624278467,168
R,2015,8.855262074,169
R,2015,9.834870407,170
R,2015,12.59328857,171
R,2015,12.56239967,172
R,2015,18.46241479,173
R,2015,14.43942839,174
R,2015,23.32769076,175
R,2015,35.18164679,176
R,2015,31.67316863,177
R,2015,34.34220448,178
R,2015,40.15049129,179
R,2015,32.05914855,180
R,2015,26.12211209,181
R,2015,17.86350789,182
R,2015,22.04095289,183
R,2015,14.27223731,184
R,2015,13.30600114,185
R,2015,11.42521883,186
R,2015,12.56138307,187
R,2015,10.68771694,188
R,2015,10.59472022,189
R,2015,9.907949643,190
R,2015,9.256944501,191
R,2015,8.283954213,192
R,2015,8.337970694,193
R,2015,5.644380128,194
R,2015,8.292849435,195
R,2015,8.662030479,196
R,2015,8.646546928,197
R,2015,9.062647825,198
R,2015,8.518377529,199
R,2015,7.807619955,200
R,2015,8.007576729,201
R,2015,7.863141781,202
R,2015,7.691493318,203
R,2015,8.515607694,204
R,2015,7.290093975,205
R,2015,5.794836457,206
R,2015,5.364112205,207
R,2015,4.256652747,208
R,2015,3.86142571,209
R,2015,3.276256942,210
R,2015,3.19055001,211
R,2015,3.566456234,212
R,2015,3.549174088,213
R,2015,4.470746472,214
R,2015,5.168604997,215
R,2015,6.482912192,216
R,2015,7.040167557,217
R,2015,6.346926728,218
R,2015,5.458733909,219
R,2015,6.498086855,220
R,2015,4.909224229,221
R,2015,4.17955248,222
R,2015,3.732809009,223
R,2015,4.156004188,224
R,2015,3.271393699,225
R,2015,3.240050456,226
R,2015,2.815034786,227
R,2015,3.283138521,228
R,2015,3.507571818,229
R,2015,2.519624263,230
R,2015,3.163336496,231
R,2015,3.198291786,232
R,2015,2.513105532,233
R,2015,2.938043001,234
R,2015,2.952431756,235
R,2015,2.958374937,236
R,2015,2.66692445,237
R,2015,3.203061971,238
R,2015,3.623854854,239
R,2015,3.127912007,240
R,2015,2.652613895,241
R,2015,3.012098169,242
R,2015,2.449372731,243
R,2015,2.392834308,244
R,2015,2.462823089,245
R,2015,2.550719614,246
R,2013,3.783278354,147
R,2013,4.210543146,148
R,2013,3.934892148,149
R,2013,3.796434685,150
R,2013,3.505616562,151
R,2013,5.410756778,152
R,2013,4.752423141,153
R,2013,5.898230459,154
R,2013,3.920414438,155
R,2013,5.303552784,156
R,2013,3.943452381,157
R,2013,3.844980974,158
R,2013,4.518079577,159
R,2013,4.036638275,160
R,2013,3.666824712,161
R,2013,3.998605561,162
R,2013,3.197333266,163
R,2013,2.519523662,164
R,2013,2.097084773,165
R,2013,2.521994065,166
R,2013,1.77731123,167
R,2013,1.339647765,168
R,2013,1.401695093,169
R,2013,2.056524205,170
R,2013,2.314365322,171
R,2013,3.001539476,172
R,2013,2.637126329,173
R,2013,2.333554033,174
R,2013,2.186134178,175
R,2013,2.385547395,176
R,2013,2.663209187,177
R,2013,2.797759966,178
R,2013,4.010785222,179
R,2013,4.278048341,180
R,2013,3.293966233,181
R,2013,3.876521699,182
R,2013,3.617818813,183
R,2013,3.434549392,184
R,2013,2.986487254,185
R,2013,2.696760705,186
R,2013,2.446330796,187
R,2013,1.986261351,188
R,2013,3.519289955,189
R,2013,3.127989632,190
R,2013,4.570762354,191
R,2013,4.140912256,192
R,2013,4.048243423,193
R,2013,4.420240133,194
R,2013,3.433285465,195
R,2013,2.681651031,196
R,2013,3.499469281,197
R,2013,2.892554494,198
R,2013,3.301894503,199
R,2013,3.640052439,200
R,2013,2.828438922,201
R,2013,3.402951215,202
R,2013,3.231746552,203
R,2013,3.734100101,204
R,2013,3.229276149,205
R,2013,3.900651215,206
R,2013,4.102477384,207
R,2013,5.148606819,208
R,2013,5.378067028,209
R,2013,4.284770134,210
R,2013,9.77159234,211
R,2013,2.698369339,212
R,2013,4.73926681,213
R,2013,5.026925115,214
